contest_id,candidate_name,candidate_party,sheet_number,election_year,election_month,candidate_id
173112016,BRENDA LOPEZ ,DEM,173,2016,11,b1884dc7eea472f0242efb0e3fbc4c9ce2df1ae700e7c76209e17b88e7c84d43
174112016,DEWEY MCCLAIN (I) ,DEM,174,2016,11,edcf2b010d117cc52b20d71c9a68fcffac974af9ce4f12b471f33829d70dc30f
175112016,VALERIE CLARK (I) ,REP,175,2016,11,92ea1b954e15fc04ef9324262e2ba22f0eb6ce6cda4021fe2b573a915cf312a9
175112016,SAMUEL PARK ,DEM,175,2016,11,35ad676243c8c36ecaf440f0fb0b9a33da93b56f9a5a2fd11c426b86c88df23c
176112016,BUZZ BROCKWAY (I) ,REP,176,2016,11,7d570eac554cd5a060dcd1b293117a56689d33976cca0066ca47773600ec2dce
176112016,KAREN T. RIDGEWAY ,DEM,176,2016,11,61b66786c2fc3bb8eac7c9d017a5537f6b530cbd30f6deefbae4a73d56aee718
177112016,TIMOTHY BARR (I) ,REP,177,2016,11,d13619a98490510857fa916f15c5b0d77bfd01a0375fdb965b868f17248e2296
178112016,CHUCK EFSTRATION (I) ,REP,178,2016,11,2e7d02815511d7c1f30bf6f8859b27feb40b489f1d102ab69310c44bb9134ca4
179112016,JOYCE CHANDLER (I) ,REP,179,2016,11,611049554e3390ed89b8c538914e7a304cee3d73c306b8b421806b774b71e6a9
179112016,DONNA MCLEOD ,DEM,179,2016,11,51211a0e0c0f744cefcbab798c45abd8c088ff2cc3e33d5e5844478efe48e491
180112016,BRETT HARRELL (I) ,REP,180,2016,11,589a0a5eb53d1728924505fe01de2ef2de00e05194a88c43822dc49af82ba1c4
181112016,DAVID CASAS (I) ,REP,181,2016,11,1ad26a38a3818e6a6753796971d1c53b41ef493e47936c76b8ba52fea8c021be
182112016,CLAY COX ,REP,182,2016,11,7fcf7919d1730e1deab6373246ec83c88f7527c94c252fef5ffc8e494e44be20
182112016,"TOKHIR ""T.R."" RADJABOV ",DEM,182,2016,11,ade24beef83a54d95b43965b4743396f4427301c43a308b67030dadf952d02ac
183112016,DALE RUTLEDGE (I) ,REP,183,2016,11,500aba4133497925203f32fcbefe93feba3506ee9f9251126a7f17895206598c
183112016,JANE ASKEW RUTLEDGE ,DEM,183,2016,11,33bd0563668ba9d0f22dc7bebc9f9f8fb5e35d343933b2810ece128cb52ebbac
184112016,ANDY WELCH (I) ,REP,184,2016,11,8c65c1b7e3c0564379f46f82951d511a02b20141a834456895271f8c1b9e9461
185112016,BRIAN STRICKLAND (I) ,REP,185,2016,11,51707b4b858310eb9cbec8366c44f571ccd5d362303e0de8469e6b5bb237096d
185112016,I. DARRYL PAYTON ,DEM,185,2016,11,fcd22cf6254b15bd5eca44a8be86fd7e38f465a74a7dd26cbc3bed38bf356993
186112016,DAVE BELTON (I) ,REP,186,2016,11,5286eb2ed1a9b1f495e89b7d9a186b42390144a26334210bd546f0ea4ba91aa6
187112016,"PAMELA ""PAM"" DICKERSON (I) ",DEM,187,2016,11,c316a4334b7e3e560e6fac089b0a561548a7369d1bd82e5fc8623fee8c0ced83
188112016,TOM KIRBY (I) ,REP,188,2016,11,b6d765520021fd08cd8fbf59839157c9b48611e0793a65e7984df5899742625c
189112016,BRUCE WILLIAMSON (I) ,REP,189,2016,11,9b1f46f3449e0dc0713faaad54fa5c1d059743648b1f4e5fc876810684f6123d
190112016,TERRY ENGLAND (I) ,REP,190,2016,11,081539fe444fbcddcb5c9407b53e184b5a4c5239c2a10daa49943f6ef8760327
191112016,REGINA QUICK (I) ,REP,191,2016,11,8b9792a93880fe90290009bd57e2ce595abd725e0979c6cbf5bad2b97d17e40e
192112016,SPENCER FRYE (I) ,DEM,192,2016,11,9140fe123e6a64a6735a1b43e9fd76f233bf50bba61422001d0d16ee6d01479f
193112016,CHUCK WILLIAMS (I) ,REP,193,2016,11,da2409475629779b2cceefc4363122da9e0e88f8e4b20cb1b8bbfbbcb8601caa
194112016,TREY RHODES (I) ,REP,194,2016,11,228de7152ccbca20d812e520fd3071bb12c7f2a26312bc4ab9ba19119bfcc0e8
195112016,BARRY FLEMING (I) ,REP,195,2016,11,9a4b660978fab41a62462d1bda3aff0859c9fda3dc3db17a96d9f00244d252b8
196112016,JODI LOTT (I) ,REP,196,2016,11,3df2b26f2789f3d762303e0ed65fe41663adf663d627846214536662c859bb96
197112016,MARK NEWTON ,REP,197,2016,11,31a93ee56ecd0b50e2a35db7dde4e5a6527ac9ea11a2460f001c671d8746e20f
