county_name,candidate_id,election_day,absentee_by_mail,advance_in_person,provisional,total_votes,result_id
Forsyth,86c4b8db0e614c12343f89ce974b91902e787f1fbd798005af0f140b51d7b929,17334,2579,49914,24,69851,Forsyth86c4b8db0e614c12343f89ce974b91902e787f1fbd798005af0f140b51d7b929
Franklin,86c4b8db0e614c12343f89ce974b91902e787f1fbd798005af0f140b51d7b929,3332,316,3406,0,7054,Franklin86c4b8db0e614c12343f89ce974b91902e787f1fbd798005af0f140b51d7b929
Fulton,86c4b8db0e614c12343f89ce974b91902e787f1fbd798005af0f140b51d7b929,40253,7198,70143,189,117783,Fulton86c4b8db0e614c12343f89ce974b91902e787f1fbd798005af0f140b51d7b929
Gilmer,86c4b8db0e614c12343f89ce974b91902e787f1fbd798005af0f140b51d7b929,4440,515,5511,11,10477,Gilmer86c4b8db0e614c12343f89ce974b91902e787f1fbd798005af0f140b51d7b929
Glascock,86c4b8db0e614c12343f89ce974b91902e787f1fbd798005af0f140b51d7b929,532,59,644,0,1235,Glascock86c4b8db0e614c12343f89ce974b91902e787f1fbd798005af0f140b51d7b929
Glynn,86c4b8db0e614c12343f89ce974b91902e787f1fbd798005af0f140b51d7b929,8969,811,11702,30,21512,Glynn86c4b8db0e614c12343f89ce974b91902e787f1fbd798005af0f140b51d7b929
Gordon,86c4b8db0e614c12343f89ce974b91902e787f1fbd798005af0f140b51d7b929,7142,424,7608,17,15191,Gordon86c4b8db0e614c12343f89ce974b91902e787f1fbd798005af0f140b51d7b929
Grady,86c4b8db0e614c12343f89ce974b91902e787f1fbd798005af0f140b51d7b929,2588,180,3279,6,6053,Grady86c4b8db0e614c12343f89ce974b91902e787f1fbd798005af0f140b51d7b929
Greene,86c4b8db0e614c12343f89ce974b91902e787f1fbd798005af0f140b51d7b929,1435,260,3793,2,5490,Greene86c4b8db0e614c12343f89ce974b91902e787f1fbd798005af0f140b51d7b929
Gwinnett,86c4b8db0e614c12343f89ce974b91902e787f1fbd798005af0f140b51d7b929,71967,10197,64325,500,146989,Gwinnett86c4b8db0e614c12343f89ce974b91902e787f1fbd798005af0f140b51d7b929
Habersham,86c4b8db0e614c12343f89ce974b91902e787f1fbd798005af0f140b51d7b929,2545,744,9898,3,13190,Habersham86c4b8db0e614c12343f89ce974b91902e787f1fbd798005af0f140b51d7b929
Hall,86c4b8db0e614c12343f89ce974b91902e787f1fbd798005af0f140b51d7b929,23488,2422,25781,42,51733,Hall86c4b8db0e614c12343f89ce974b91902e787f1fbd798005af0f140b51d7b929
Hancock,86c4b8db0e614c12343f89ce974b91902e787f1fbd798005af0f140b51d7b929,390,43,408,2,843,Hancock86c4b8db0e614c12343f89ce974b91902e787f1fbd798005af0f140b51d7b929
Haralson,86c4b8db0e614c12343f89ce974b91902e787f1fbd798005af0f140b51d7b929,4743,331,4505,6,9585,Haralson86c4b8db0e614c12343f89ce974b91902e787f1fbd798005af0f140b51d7b929
