census_id,county_fips_code,year,aggrp,race,gender,population
351,5,2016,65+,black,female,110
352,5,2016,65+,asia-pi,male,5
353,5,2016,65+,asia-pi,female,5
354,5,2016,65+,hisp-lt,male,19
355,5,2016,65+,hisp-lt,female,14
356,5,2016,65+,native-am,male,1
357,5,2016,65+,native-am,female,1
358,5,2016,65+,other,male,2
359,5,2016,65+,other,female,1
360,7,2016,18-24,white,male,53
361,7,2016,18-24,white,female,42
362,7,2016,18-24,black,male,46
363,7,2016,18-24,black,female,59
364,7,2016,18-24,asia-pi,male,1
365,7,2016,18-24,asia-pi,female,0
366,7,2016,18-24,hisp-lt,male,15
367,7,2016,18-24,hisp-lt,female,11
368,7,2016,18-24,native-am,male,0
369,7,2016,18-24,native-am,female,0
370,7,2016,18-24,other,male,3
371,7,2016,18-24,other,female,2
372,7,2016,25-29,white,male,48
373,7,2016,25-29,white,female,46
374,7,2016,25-29,black,male,36
375,7,2016,25-29,black,female,42
376,7,2016,25-29,asia-pi,male,0
377,7,2016,25-29,asia-pi,female,3
378,7,2016,25-29,hisp-lt,male,11
379,7,2016,25-29,hisp-lt,female,1
380,7,2016,25-29,native-am,male,0
381,7,2016,25-29,native-am,female,1
382,7,2016,25-29,other,male,1
383,7,2016,25-29,other,female,0
384,7,2016,30-34,white,male,35
385,7,2016,30-34,white,female,42
386,7,2016,30-34,black,male,35
387,7,2016,30-34,black,female,38
388,7,2016,30-34,asia-pi,male,1
389,7,2016,30-34,asia-pi,female,1
390,7,2016,30-34,hisp-lt,male,10
391,7,2016,30-34,hisp-lt,female,7
392,7,2016,30-34,native-am,male,0
393,7,2016,30-34,native-am,female,0
394,7,2016,30-34,other,male,1
395,7,2016,30-34,other,female,1
396,7,2016,35-39,white,male,41
397,7,2016,35-39,white,female,40
398,7,2016,35-39,black,male,33
399,7,2016,35-39,black,female,35
400,7,2016,35-39,asia-pi,male,0
401,7,2016,35-39,asia-pi,female,1
402,7,2016,35-39,hisp-lt,male,6
403,7,2016,35-39,hisp-lt,female,6
404,7,2016,35-39,native-am,male,0
405,7,2016,35-39,native-am,female,0
406,7,2016,35-39,other,male,1
407,7,2016,35-39,other,female,0
408,7,2016,40-44,white,male,46
409,7,2016,40-44,white,female,44
410,7,2016,40-44,black,male,46
411,7,2016,40-44,black,female,36
412,7,2016,40-44,asia-pi,male,3
413,7,2016,40-44,asia-pi,female,3
414,7,2016,40-44,hisp-lt,male,2
415,7,2016,40-44,hisp-lt,female,4
416,7,2016,40-44,native-am,male,0
417,7,2016,40-44,native-am,female,1
418,7,2016,40-44,other,male,0
419,7,2016,40-44,other,female,0
420,7,2016,45-49,white,male,53
421,7,2016,45-49,white,female,43
422,7,2016,45-49,black,male,28
423,7,2016,45-49,black,female,42
424,7,2016,45-49,asia-pi,male,4
425,7,2016,45-49,asia-pi,female,0
426,7,2016,45-49,hisp-lt,male,8
427,7,2016,45-49,hisp-lt,female,8
428,7,2016,45-49,native-am,male,1
429,7,2016,45-49,native-am,female,0
430,7,2016,45-49,other,male,0
431,7,2016,45-49,other,female,1
432,7,2016,50-54,white,male,65
433,7,2016,50-54,white,female,58
434,7,2016,50-54,black,male,54
435,7,2016,50-54,black,female,62
436,7,2016,50-54,asia-pi,male,1
437,7,2016,50-54,asia-pi,female,1
438,7,2016,50-54,hisp-lt,male,5
439,7,2016,50-54,hisp-lt,female,1
440,7,2016,50-54,native-am,male,0
441,7,2016,50-54,native-am,female,0
442,7,2016,50-54,other,male,0
443,7,2016,50-54,other,female,0
444,7,2016,55-59,white,male,73
445,7,2016,55-59,white,female,71
446,7,2016,55-59,black,male,60
447,7,2016,55-59,black,female,62
448,7,2016,55-59,asia-pi,male,1
449,7,2016,55-59,asia-pi,female,1
450,7,2016,55-59,hisp-lt,male,2
451,7,2016,55-59,hisp-lt,female,1
452,7,2016,55-59,native-am,male,1
453,7,2016,55-59,native-am,female,3
454,7,2016,55-59,other,male,0
455,7,2016,55-59,other,female,0
456,7,2016,60-64,white,male,59
457,7,2016,60-64,white,female,52
458,7,2016,60-64,black,male,63
459,7,2016,60-64,black,female,78
460,7,2016,60-64,asia-pi,male,1
461,7,2016,60-64,asia-pi,female,0
462,7,2016,60-64,hisp-lt,male,2
463,7,2016,60-64,hisp-lt,female,0
464,7,2016,60-64,native-am,male,0
465,7,2016,60-64,native-am,female,1
466,7,2016,60-64,other,male,0
467,7,2016,60-64,other,female,1
468,7,2016,65+,white,male,173
469,7,2016,65+,white,female,201
470,7,2016,65+,black,male,129
471,7,2016,65+,black,female,147
472,7,2016,65+,asia-pi,male,1
473,7,2016,65+,asia-pi,female,0
474,7,2016,65+,hisp-lt,male,3
475,7,2016,65+,hisp-lt,female,3
476,7,2016,65+,native-am,male,0
477,7,2016,65+,native-am,female,3
478,7,2016,65+,other,male,3
479,7,2016,65+,other,female,2
480,9,2016,18-24,white,male,2176
481,9,2016,18-24,white,female,2167
482,9,2016,18-24,black,male,1328
483,9,2016,18-24,black,female,1321
484,9,2016,18-24,asia-pi,male,109
485,9,2016,18-24,asia-pi,female,78
486,9,2016,18-24,hisp-lt,male,81
487,9,2016,18-24,hisp-lt,female,79
488,9,2016,18-24,native-am,male,7
489,9,2016,18-24,native-am,female,7
490,9,2016,18-24,other,male,27
491,9,2016,18-24,other,female,31
492,9,2016,25-29,white,male,680
493,9,2016,25-29,white,female,726
494,9,2016,25-29,black,male,668
495,9,2016,25-29,black,female,506
496,9,2016,25-29,asia-pi,male,27
497,9,2016,25-29,asia-pi,female,20
498,9,2016,25-29,hisp-lt,male,50
499,9,2016,25-29,hisp-lt,female,36
500,9,2016,25-29,native-am,male,4
501,9,2016,25-29,native-am,female,5
502,9,2016,25-29,other,male,15
503,9,2016,25-29,other,female,34
504,9,2016,30-34,white,male,615
505,9,2016,30-34,white,female,558
506,9,2016,30-34,black,male,582
507,9,2016,30-34,black,female,569
508,9,2016,30-34,asia-pi,male,28
509,9,2016,30-34,asia-pi,female,15
510,9,2016,30-34,hisp-lt,male,50
511,9,2016,30-34,hisp-lt,female,36
512,9,2016,30-34,native-am,male,2
513,9,2016,30-34,native-am,female,4
514,9,2016,30-34,other,male,7
515,9,2016,30-34,other,female,10
516,9,2016,35-39,white,male,613
517,9,2016,35-39,white,female,490
518,9,2016,35-39,black,male,653
519,9,2016,35-39,black,female,574
520,9,2016,35-39,asia-pi,male,12
521,9,2016,35-39,asia-pi,female,18
522,9,2016,35-39,hisp-lt,male,57
523,9,2016,35-39,hisp-lt,female,15
524,9,2016,35-39,native-am,male,6
525,9,2016,35-39,native-am,female,6
526,9,2016,35-39,other,male,7
527,9,2016,35-39,other,female,7
528,9,2016,40-44,white,male,566
529,9,2016,40-44,white,female,460
530,9,2016,40-44,black,male,579
531,9,2016,40-44,black,female,557
532,9,2016,40-44,asia-pi,male,14
533,9,2016,40-44,asia-pi,female,27
534,9,2016,40-44,hisp-lt,male,22
535,9,2016,40-44,hisp-lt,female,20
536,9,2016,40-44,native-am,male,4
537,9,2016,40-44,native-am,female,1
538,9,2016,40-44,other,male,8
539,9,2016,40-44,other,female,8
540,9,2016,45-49,white,male,714
541,9,2016,45-49,white,female,601
542,9,2016,45-49,black,male,624
543,9,2016,45-49,black,female,549
544,9,2016,45-49,asia-pi,male,21
545,9,2016,45-49,asia-pi,female,14
546,9,2016,45-49,hisp-lt,male,27
547,9,2016,45-49,hisp-lt,female,20
548,9,2016,45-49,native-am,male,1
549,9,2016,45-49,native-am,female,2
550,9,2016,45-49,other,male,9
551,9,2016,45-49,other,female,6
552,9,2016,50-54,white,male,793
553,9,2016,50-54,white,female,643
554,9,2016,50-54,black,male,716
555,9,2016,50-54,black,female,658
556,9,2016,50-54,asia-pi,male,23
557,9,2016,50-54,asia-pi,female,18
558,9,2016,50-54,hisp-lt,male,30
559,9,2016,50-54,hisp-lt,female,24
560,9,2016,50-54,native-am,male,2
561,9,2016,50-54,native-am,female,2
562,9,2016,50-54,other,male,5
563,9,2016,50-54,other,female,4
564,9,2016,55-59,white,male,820
565,9,2016,55-59,white,female,718
566,9,2016,55-59,black,male,635
567,9,2016,55-59,black,female,661
568,9,2016,55-59,asia-pi,male,16
569,9,2016,55-59,asia-pi,female,23
570,9,2016,55-59,hisp-lt,male,16
571,9,2016,55-59,hisp-lt,female,21
572,9,2016,55-59,native-am,male,6
573,9,2016,55-59,native-am,female,4
574,9,2016,55-59,other,male,5
575,9,2016,55-59,other,female,6
576,9,2016,60-64,white,male,793
577,9,2016,60-64,white,female,723
578,9,2016,60-64,black,male,538
579,9,2016,60-64,black,female,567
580,9,2016,60-64,asia-pi,male,37
581,9,2016,60-64,asia-pi,female,45
582,9,2016,60-64,hisp-lt,male,18
583,9,2016,60-64,hisp-lt,female,12
584,9,2016,60-64,native-am,male,3
585,9,2016,60-64,native-am,female,2
586,9,2016,60-64,other,male,6
587,9,2016,60-64,other,female,12
588,9,2016,65+,white,male,2208
589,9,2016,65+,white,female,2282
590,9,2016,65+,black,male,871
591,9,2016,65+,black,female,1219
592,9,2016,65+,asia-pi,male,39
593,9,2016,65+,asia-pi,female,44
594,9,2016,65+,hisp-lt,male,46
595,9,2016,65+,hisp-lt,female,46
596,9,2016,65+,native-am,male,13
597,9,2016,65+,native-am,female,9
598,9,2016,65+,other,male,18
599,9,2016,65+,other,female,20
600,11,2016,18-24,white,male,666
601,11,2016,18-24,white,female,602
602,11,2016,18-24,black,male,28
603,11,2016,18-24,black,female,27
604,11,2016,18-24,asia-pi,male,11
605,11,2016,18-24,asia-pi,female,13
606,11,2016,18-24,hisp-lt,male,76
607,11,2016,18-24,hisp-lt,female,62
608,11,2016,18-24,native-am,male,1
609,11,2016,18-24,native-am,female,2
610,11,2016,18-24,other,male,13
611,11,2016,18-24,other,female,11
612,11,2016,25-29,white,male,459
613,11,2016,25-29,white,female,486
614,11,2016,25-29,black,male,15
615,11,2016,25-29,black,female,9
616,11,2016,25-29,asia-pi,male,6
617,11,2016,25-29,asia-pi,female,7
618,11,2016,25-29,hisp-lt,male,36
619,11,2016,25-29,hisp-lt,female,37
620,11,2016,25-29,native-am,male,0
621,11,2016,25-29,native-am,female,1
622,11,2016,25-29,other,male,12
623,11,2016,25-29,other,female,7
624,11,2016,30-34,white,male,411
625,11,2016,30-34,white,female,420
626,11,2016,30-34,black,male,18
627,11,2016,30-34,black,female,8
628,11,2016,30-34,asia-pi,male,3
629,11,2016,30-34,asia-pi,female,10
630,11,2016,30-34,hisp-lt,male,65
631,11,2016,30-34,hisp-lt,female,42
632,11,2016,30-34,native-am,male,2
633,11,2016,30-34,native-am,female,0
634,11,2016,30-34,other,male,5
635,11,2016,30-34,other,female,3
636,11,2016,35-39,white,male,478
637,11,2016,35-39,white,female,525
638,11,2016,35-39,black,male,14
639,11,2016,35-39,black,female,14
640,11,2016,35-39,asia-pi,male,11
641,11,2016,35-39,asia-pi,female,6
642,11,2016,35-39,hisp-lt,male,43
643,11,2016,35-39,hisp-lt,female,47
644,11,2016,35-39,native-am,male,2
645,11,2016,35-39,native-am,female,0
646,11,2016,35-39,other,male,2
647,11,2016,35-39,other,female,4
648,11,2016,40-44,white,male,550
649,11,2016,40-44,white,female,537
650,11,2016,40-44,black,male,15
651,11,2016,40-44,black,female,15
652,11,2016,40-44,asia-pi,male,5
653,11,2016,40-44,asia-pi,female,3
654,11,2016,40-44,hisp-lt,male,56
655,11,2016,40-44,hisp-lt,female,51
656,11,2016,40-44,native-am,male,1
657,11,2016,40-44,native-am,female,1
658,11,2016,40-44,other,male,6
659,11,2016,40-44,other,female,6
660,11,2016,45-49,white,male,592
661,11,2016,45-49,white,female,534
662,11,2016,45-49,black,male,27
663,11,2016,45-49,black,female,13
664,11,2016,45-49,asia-pi,male,11
665,11,2016,45-49,asia-pi,female,2
666,11,2016,45-49,hisp-lt,male,53
667,11,2016,45-49,hisp-lt,female,43
668,11,2016,45-49,native-am,male,2
669,11,2016,45-49,native-am,female,3
670,11,2016,45-49,other,male,5
671,11,2016,45-49,other,female,2
672,11,2016,50-54,white,male,627
673,11,2016,50-54,white,female,607
674,11,2016,50-54,black,male,15
675,11,2016,50-54,black,female,22
676,11,2016,50-54,asia-pi,male,8
677,11,2016,50-54,asia-pi,female,7
678,11,2016,50-54,hisp-lt,male,40
679,11,2016,50-54,hisp-lt,female,21
680,11,2016,50-54,native-am,male,2
681,11,2016,50-54,native-am,female,2
682,11,2016,50-54,other,male,6
683,11,2016,50-54,other,female,3
684,11,2016,55-59,white,male,618
685,11,2016,55-59,white,female,587
686,11,2016,55-59,black,male,22
687,11,2016,55-59,black,female,17
688,11,2016,55-59,asia-pi,male,9
689,11,2016,55-59,asia-pi,female,9
690,11,2016,55-59,hisp-lt,male,23
691,11,2016,55-59,hisp-lt,female,10
692,11,2016,55-59,native-am,male,1
693,11,2016,55-59,native-am,female,1
694,11,2016,55-59,other,male,9
695,11,2016,55-59,other,female,11
696,11,2016,60-64,white,male,541
697,11,2016,60-64,white,female,547
698,11,2016,60-64,black,male,24
699,11,2016,60-64,black,female,9
700,11,2016,60-64,asia-pi,male,11
701,11,2016,60-64,asia-pi,female,13
702,11,2016,60-64,hisp-lt,male,16
703,11,2016,60-64,hisp-lt,female,12
704,11,2016,60-64,native-am,male,0
705,11,2016,60-64,native-am,female,1
706,11,2016,60-64,other,male,9
707,11,2016,60-64,other,female,5
708,11,2016,65+,white,male,1358
709,11,2016,65+,white,female,1530
710,11,2016,65+,black,male,35
711,11,2016,65+,black,female,37
712,11,2016,65+,asia-pi,male,11
713,11,2016,65+,asia-pi,female,7
714,11,2016,65+,hisp-lt,male,16
715,11,2016,65+,hisp-lt,female,36
716,11,2016,65+,native-am,male,3
717,11,2016,65+,native-am,female,6
718,11,2016,65+,other,male,12
719,11,2016,65+,other,female,20
720,13,2016,18-24,white,male,2145
721,13,2016,18-24,white,female,2153
722,13,2016,18-24,black,male,441
723,13,2016,18-24,black,female,427
724,13,2016,18-24,asia-pi,male,179
725,13,2016,18-24,asia-pi,female,166
726,13,2016,18-24,hisp-lt,male,408
727,13,2016,18-24,hisp-lt,female,383
728,13,2016,18-24,native-am,male,10
729,13,2016,18-24,native-am,female,8
730,13,2016,18-24,other,male,65
731,13,2016,18-24,other,female,77
732,13,2016,25-29,white,male,1968
733,13,2016,25-29,white,female,2075
734,13,2016,25-29,black,male,269
735,13,2016,25-29,black,female,280
736,13,2016,25-29,asia-pi,male,145
737,13,2016,25-29,asia-pi,female,161
738,13,2016,25-29,hisp-lt,male,326
739,13,2016,25-29,hisp-lt,female,279
740,13,2016,25-29,native-am,male,10
741,13,2016,25-29,native-am,female,7
742,13,2016,25-29,other,male,29
743,13,2016,25-29,other,female,41
744,13,2016,30-34,white,male,2081
745,13,2016,30-34,white,female,2146
746,13,2016,30-34,black,male,287
747,13,2016,30-34,black,female,316
748,13,2016,30-34,asia-pi,male,147
749,13,2016,30-34,asia-pi,female,142
750,13,2016,30-34,hisp-lt,male,338
751,13,2016,30-34,hisp-lt,female,280
752,13,2016,30-34,native-am,male,5
753,13,2016,30-34,native-am,female,10
754,13,2016,30-34,other,male,23
755,13,2016,30-34,other,female,41
756,13,2016,35-39,white,male,1996
757,13,2016,35-39,white,female,2010
758,13,2016,35-39,black,male,321
759,13,2016,35-39,black,female,319
760,13,2016,35-39,asia-pi,male,97
761,13,2016,35-39,asia-pi,female,111
762,13,2016,35-39,hisp-lt,male,402
763,13,2016,35-39,hisp-lt,female,320
764,13,2016,35-39,native-am,male,5
765,13,2016,35-39,native-am,female,3
766,13,2016,35-39,other,male,33
767,13,2016,35-39,other,female,34
768,13,2016,40-44,white,male,1852
769,13,2016,40-44,white,female,1848
770,13,2016,40-44,black,male,308
771,13,2016,40-44,black,female,364
772,13,2016,40-44,asia-pi,male,87
773,13,2016,40-44,asia-pi,female,93
774,13,2016,40-44,hisp-lt,male,309
775,13,2016,40-44,hisp-lt,female,303
776,13,2016,40-44,native-am,male,4
777,13,2016,40-44,native-am,female,9
778,13,2016,40-44,other,male,26
779,13,2016,40-44,other,female,39
780,13,2016,45-49,white,male,1946
781,13,2016,45-49,white,female,1997
782,13,2016,45-49,black,male,303
783,13,2016,45-49,black,female,335
784,13,2016,45-49,asia-pi,male,87
785,13,2016,45-49,asia-pi,female,73
786,13,2016,45-49,hisp-lt,male,237
787,13,2016,45-49,hisp-lt,female,255
788,13,2016,45-49,native-am,male,9
789,13,2016,45-49,native-am,female,5
790,13,2016,45-49,other,male,19
791,13,2016,45-49,other,female,19
792,13,2016,50-54,white,male,1889
793,13,2016,50-54,white,female,1955
794,13,2016,50-54,black,male,306
795,13,2016,50-54,black,female,337
796,13,2016,50-54,asia-pi,male,76
797,13,2016,50-54,asia-pi,female,66
798,13,2016,50-54,hisp-lt,male,213
799,13,2016,50-54,hisp-lt,female,176
800,13,2016,50-54,native-am,male,11
801,13,2016,50-54,native-am,female,9
802,13,2016,50-54,other,male,12
803,13,2016,50-54,other,female,18
804,13,2016,55-59,white,male,1812
805,13,2016,55-59,white,female,1906
806,13,2016,55-59,black,male,239
807,13,2016,55-59,black,female,270
808,13,2016,55-59,asia-pi,male,56
809,13,2016,55-59,asia-pi,female,58
810,13,2016,55-59,hisp-lt,male,113
811,13,2016,55-59,hisp-lt,female,117
812,13,2016,55-59,native-am,male,9
813,13,2016,55-59,native-am,female,6
814,13,2016,55-59,other,male,13
815,13,2016,55-59,other,female,12
816,13,2016,60-64,white,male,1510
817,13,2016,60-64,white,female,1690
818,13,2016,60-64,black,male,199
819,13,2016,60-64,black,female,244
820,13,2016,60-64,asia-pi,male,43
821,13,2016,60-64,asia-pi,female,40
822,13,2016,60-64,hisp-lt,male,116
823,13,2016,60-64,hisp-lt,female,104
824,13,2016,60-64,native-am,male,8
825,13,2016,60-64,native-am,female,3
826,13,2016,60-64,other,male,20
827,13,2016,60-64,other,female,15
828,13,2016,65+,white,male,3332
829,13,2016,65+,white,female,4402
830,13,2016,65+,black,male,313
831,13,2016,65+,black,female,479
